run_name,metrics.lift_at_10pct,metrics.precision,metrics.lift_at_20pct,metrics.brier,metrics.f1,metrics.recall,metrics.accuracy,metrics.roc_auc,metrics.pr_auc,metrics.best_val_loss,metrics.n_epochs_trained,metrics.val_pr_auc,metrics.test_accuracy,metrics.test_recall,metrics.train_loss,metrics.test_brier,metrics.val_loss,metrics.test_roc_auc,metrics.test_pr_auc,metrics.cv_pr_auc_mean_optuna,metrics.cv_pr_auc_std,metrics.leaky_pr_auc_mean_DO_NOT_TRUST,metrics.cv_roc_auc_mean,metrics.leakage_inflation_pr_auc,metrics.cv_pr_auc_mean,metrics.cv_recall_mean,metrics.cv_accuracy_mean,params.model,params.seed
final_calibrated_xgboost,2.805495505745818,0.533210332103321,2.511586452762923,0.135202774265716,0.631004366812227,0.7727272727272727,0.7601135557132718,0.8481761347490248,0.6681073929867994,,,,,,,,,,,,,,,,,,,"CalibratedClassifierCV(sigmoid, cv=5)+XGBoost",42
mlp_torch,,,,,,,,,,0.728581473055179,12.0,0.6613702922461195,0.7409510290986515,0.786096256684492,0.6951322121827326,0.16977450961337587,0.7359085924236487,0.8435195949262445,0.6532403975421369,,,,,,,,,ChurnMLP(57-64-32-1),42
xgboost_optuna_tuned,,,,,,,,,,,,,,,,,,0.8464982303856985,0.6621330018733003,0.6645684329246746,,,,,,,,XGBClassifier,42
logreg_optuna_tuned,,,,,,,,,,,,,,,,,,0.8469632385233408,0.6609772409183762,0.6621818024323076,,,,,,,,LogisticRegression,42
smote_honest_logreg,,,,,,,,,,,,,,,,,,,,,0.019211163779093515,0.8355380550410845,0.8449654717718849,0.17765499286689057,0.6578830621741939,,,LogisticRegression+SMOTE(in-CV),42
logreg_class_weight_balanced,,,,,,,,,,,,,,,,,,,,,0.016513688844202068,,0.8474804754806492,,0.661745542271974,0.7979933110367894,,LogisticRegression,42
baseline_logreg,,,,,,,,,,,,,,,,,,,,,0.016625855872144928,,0.8476081532135138,,0.6631251593222147,0.537123745819398,0.8068880900108905,LogisticRegression,42
