cluster,n,churn_rate,arpu,avg_tenure,avg_addons,pct_month_to_month,mrr,mrr_at_risk,share_pct,churn_rate_pct,churn_index,label
1,2439,0.45510455104551045,70.22160721607216,14.496924969249692,1.6916769167691676,0.8958589585895859,171270.5,77945.9840098401,43.3,45.51,172.0,"new, mid-ARPU, M2M-heavy"
2,1863,0.14653784219001612,88.61009125067096,57.734836285560924,3.9581320450885666,0.2313472893183038,165080.6,24190.554911433173,33.1,14.65,55.0,"long-tenure, high-ARPU, contract-committed"
0,1332,0.08408408408408409,22.120345345345346,30.10735735735736,0.07132132132132132,0.36486486486486486,29464.3,2477.478678678679,23.6,8.41,32.0,"mid-tenure, low-ARPU, contract-committed"
