rule_segment,n,churn_rate,arpu,mrr,mrr_at_risk,share_pct,churn_rate_pct,churn_index
High value / Medium risk,716,0.4371508379888268,95.90502793296089,68668.0,30018.273743016758,12.7,43.72,165.0
Mid value / High risk,648,0.5555555555555556,69.96712962962962,45338.7,25188.166666666668,11.5,55.56,209.0
High value / High risk,299,0.7692307692307693,92.46454849498328,27646.899999999998,21266.846153846152,5.3,76.92,290.0
High value / Low risk,863,0.1205098493626883,100.56060254924682,86783.8,10458.30266512167,15.3,12.05,45.0
Mid value / Medium risk,505,0.29504950495049503,69.82851485148515,35263.4,10404.448712871286,9.0,29.5,111.0
Low value / High risk,647,0.3462132921174652,30.791653786707883,19922.2,6897.330448222566,11.5,34.62,130.0
Mid value / Low risk,724,0.05939226519337017,68.23342541436465,49401.00000000001,2934.03729281768,12.9,5.94,22.0
Low value / Medium risk,287,0.17421602787456447,32.84163763066202,9425.55,1642.081881533101,5.1,17.42,66.0
Low value / Low risk,945,0.02328042328042328,24.725767195767194,23365.85,543.9668783068782,16.8,2.33,9.0
