,hazard
0,0.0
1,0.053323853537148955
2,0.017902315625608095
3,0.013933764135702747
4,0.012703040399833403
5,0.012012012012012012
6,0.007249560632688928
7,0.008960573476702509
8,0.00847846012832264
9,0.009148486980999296
10,0.009110525053943897
11,0.006128953174797744
12,0.008008008008008008
13,0.006671798819604825
14,0.005249343832020997
15,0.008014961261020572
16,0.006559169171904892
17,0.005567928730512249
18,0.005400795906765207
19,0.004647110078419983
20,0.0044234739015039815
21,0.004495055439017081
22,0.006682867557715674
23,0.003102699348433137
24,0.005393401015228426
25,0.006170834686586554
26,0.004310344827586207
27,0.0033818058843422386
28,0.0031088082901554403
29,0.005257623554153523
30,0.004294917680744453
31,0.0043891733723482075
32,0.0048543689320388345
33,0.004954268292682927
34,0.0023328149300155523
35,0.004754358161648178
36,0.0024489795918367346
37,0.004564315352697096
38,0.0046629927935565915
39,0.00519705500216544
40,0.004422821760283061
41,0.005885015844273427
42,0.005571030640668524
43,0.007136060894386299
44,0.0029282576866764276
45,0.0024925224327018943
46,0.00409626216077829
47,0.00631911532385466
48,0.003260869565217391
49,0.0072666294019005035
50,0.004595060310166571
51,0.004739336492890996
52,0.004283965728274173
53,0.0076384468491406746
54,0.006596306068601583
55,0.00411240575736806
56,0.006392045454545455
57,0.003714710252600297
58,0.008507347254447023
59,0.005658852061438965
60,0.004212299915754001
61,0.0035366931918656055
62,0.0027726432532347504
63,0.0029069767441860465
64,0.0041025641025641026
65,0.008781558726673985
66,0.014234875444839857
67,0.01045751633986928
68,0.011560693641618497
69,0.011513157894736841
70,0.016885553470919325
71,0.013824884792626729
72,0.017123287671232876
